sessions_last30,minutes_watched,completion_rate,last_active_days,quizzes_attempted,avg_score,streak_days,support_tickets,forum_posts,assignments_submitted,late_submissions,payment_delay_days,subscription_type,device,country,dropped_out
26,495.88,0.536,25,6,0.879,11,0,1,3,1,27,free,desktop,UY,1
27,386.16,0.952,10,17,0.857,10,0,2,0,0,15,basic,mobile,AR,0
13,232.23,0.419,59,17,0.7,28,0,4,7,3,31,basic,tablet,MX,0
5,71.32,0.453,54,0,0.853,0,0,0,0,0,42,basic,mobile,AR,1
33,381.8,0.406,39,13,0.599,19,0,2,9,2,16,pro,desktop,PE,0
53,841.55,0.665,41,19,0.427,29,0,1,10,2,14,pro,desktop,AR,0
3,34.13,0.325,56,11,0.599,16,0,1,8,1,21,basic,desktop,UY,1
51,1016.78,0.504,28,7,0.579,19,0,0,2,0,22,pro,mobile,UY,0
49,543.87,0.17,8,9,0.605,17,1,0,11,2,16,pro,mobile,UY,0
16,356.35,0.648,36,4,0.556,15,0,1,1,0,15,basic,desktop,CO,1
37,403.71,0.5,27,7,0.631,18,0,1,1,0,16,free,desktop,CO,1
9,131.42,0.302,47,18,0.793,27,1,2,3,0,21,pro,desktop,UY,1
45,641.36,0.817,46,12,0.957,21,1,1,6,1,20,pro,mobile,AR,0
42,1089.94,0.338,28,8,0.441,25,2,4,8,0,20,basic,desktop,CO,0
21,419.62,0.759,22,2,0.507,16,2,0,3,0,13,basic,desktop,AR,0
4,66.92,0.46,25,18,0.581,23,0,0,10,2,28,basic,desktop,AR,0
58,1217.55,0.92,37,3,0.815,26,1,1,9,1,21,basic,desktop,CL,0
26,139.28,0.75,38,14,0.669,6,1,0,2,0,10,pro,mobile,UY,1
53,940.28,0.398,30,6,0.591,25,0,0,0,0,33,pro,mobile,AR,1
40,1199.4,0.417,31,5,0.808,20,0,0,8,1,39,free,desktop,MX,0
46,864.53,0.721,59,3,0.843,13,0,1,2,0,17,free,desktop,MX,0
45,828.34,0.548,15,7,0.697,23,0,2,3,0,23,basic,mobile,MX,0
11,234.18,0.566,10,13,0.578,5,1,1,9,2,42,basic,mobile,AR,0
21,490.85,0.854,47,8,0.741,20,0,1,2,0,14,pro,desktop,MX,0
28,168.43,0.45,56,0,0.665,17,0,2,4,1,9,free,mobile,MX,1
29,229.28,0.618,36,5,0.664,26,0,0,11,3,15,pro,desktop,PE,0
2,38.52,0.791,24,3,0.623,18,1,0,8,1,20,basic,desktop,UY,1
32,438.74,0.762,20,8,0.839,15,0,2,7,1,19,basic,mobile,AR,0
9,232.85,0.568,28,18,0.737,15,1,0,11,2,27,basic,desktop,AR,0
44,708.79,0.542,3,19,0.855,16,0,1,9,1,12,pro,mobile,MX,0
40,255.71,0.252,31,19,0.9,26,0,1,5,0,24,basic,mobile,CL,0
55,571.56,0.389,16,2,0.769,23,0,6,7,2,4,free,desktop,CO,1
44,132.0,0.664,15,9,0.624,2,1,0,6,1,42,basic,mobile,PE,1
21,348.5,0.572,33,0,0.856,15,0,0,4,0,13,basic,mobile,AR,0
58,978.44,0.615,57,9,0.77,8,0,2,11,0,14,free,tablet,PE,0
24,370.88,0.808,12,11,1.0,4,1,3,7,1,7,pro,mobile,AR,0
19,464.99,0.363,54,15,0.747,25,0,0,8,1,16,basic,mobile,UY,0
54,1360.32,0.553,31,6,0.805,25,0,1,4,1,43,free,mobile,CL,0
22,373.51,0.638,58,0,0.744,28,0,1,2,0,26,basic,mobile,PE,1
4,20.77,0.459,22,9,0.685,11,0,1,1,0,30,free,mobile,AR,1
28,607.7,0.886,59,8,0.661,12,0,1,9,1,26,basic,desktop,MX,0
47,1002.61,0.782,39,12,0.744,23,0,1,6,1,15,free,mobile,AR,0
11,218.42,0.658,40,1,0.778,5,0,1,6,1,35,free,mobile,CO,1
27,645.0,0.959,33,12,0.873,1,0,0,1,0,15,basic,desktop,UY,0
7,77.08,0.3,27,8,0.746,12,0,4,9,3,35,basic,mobile,PE,1
41,1232.15,0.598,31,14,0.631,18,0,1,3,0,44,free,mobile,MX,0
28,342.82,0.673,51,19,0.651,13,0,5,7,0,0,free,tablet,AR,1
19,427.41,0.417,47,4,0.502,6,1,2,4,0,7,free,desktop,UY,1
13,102.39,0.66,1,15,0.949,15,0,2,2,0,34,free,mobile,AR,0
33,409.81,0.379,41,2,0.619,28,0,2,1,0,5,basic,mobile,MX,1
40,1083.93,0.738,50,19,0.845,8,0,0,9,2,32,free,desktop,AR,1
56,920.34,0.812,44,9,0.741,12,0,1,1,0,11,basic,desktop,PE,0
26,599.03,0.654,29,14,0.746,9,1,1,0,0,26,basic,mobile,AR,0
9,174.8,0.229,20,15,0.682,8,0,1,3,1,29,free,mobile,AR,1
49,851.14,0.407,40,12,0.582,19,0,5,10,1,14,basic,mobile,AR,1
37,968.77,0.713,39,7,0.555,11,0,0,8,1,38,basic,tablet,MX,0
42,696.36,0.604,22,15,0.959,18,0,1,9,3,40,basic,desktop,AR,0
5,36.58,0.061,24,9,0.717,0,0,5,2,0,9,basic,mobile,PE,1
18,237.25,0.849,22,13,0.869,19,0,2,11,2,33,free,mobile,CO,0
46,980.13,0.627,2,12,0.908,3,1,3,1,0,30,basic,desktop,UY,0
49,998.28,0.436,1,9,0.638,11,0,0,0,0,11,pro,mobile,AR,0
26,223.54,0.799,4,2,0.764,26,1,3,5,1,36,basic,desktop,MX,0
48,655.39,0.464,25,5,0.707,10,0,3,5,1,13,basic,desktop,CL,0
50,725.48,0.462,30,18,0.526,20,0,1,3,0,11,basic,desktop,PE,1
23,363.57,0.672,24,10,0.672,10,1,0,2,0,31,pro,mobile,AR,0
53,516.46,0.956,57,12,0.788,27,0,1,3,0,5,free,desktop,AR,0
17,241.91,0.925,13,5,0.625,28,0,2,4,1,41,basic,mobile,AR,0
14,190.8,0.672,23,14,0.651,27,0,0,7,1,17,basic,desktop,CL,1
40,905.17,0.692,14,9,0.674,11,0,3,4,0,22,basic,mobile,PE,1
38,868.48,0.758,17,4,1.0,9,0,3,2,0,30,basic,mobile,AR,0
8,137.0,0.349,35,2,0.425,18,1,1,7,0,39,basic,mobile,MX,1
49,766.74,0.729,18,7,0.775,24,0,3,6,0,34,basic,desktop,AR,0
11,207.24,0.453,19,11,0.662,15,0,2,5,1,17,basic,mobile,AR,0
48,628.83,0.664,40,5,0.604,22,0,2,1,0,33,free,mobile,UY,1
0,0.0,0.555,49,4,0.658,26,0,3,11,1,17,pro,desktop,CO,0
47,580.86,0.7,12,5,0.8,22,0,3,6,0,23,free,mobile,UY,0
47,666.98,0.624,6,5,0.809,11,0,2,3,1,30,free,mobile,CL,0
46,506.88,0.0,14,14,0.728,7,1,3,8,2,24,free,mobile,CO,1
39,739.92,0.636,34,9,0.864,13,0,0,5,1,2,basic,desktop,MX,0
28,626.59,0.728,57,9,0.89,17,1,4,1,0,2,basic,desktop,MX,0
42,356.05,0.689,9,3,0.822,25,1,0,8,1,6,basic,desktop,AR,0
16,290.41,0.579,2,10,0.618,9,0,0,1,0,3,basic,desktop,AR,0
46,767.3,0.928,31,19,0.774,4,0,0,3,0,32,free,desktop,AR,0
33,661.62,0.662,59,14,0.775,9,0,1,7,1,8,free,mobile,CO,0
27,483.9,0.688,33,8,0.578,17,1,0,8,1,10,pro,mobile,CO,0
30,278.35,0.809,55,6,0.465,6,1,1,11,2,14,pro,desktop,MX,1
34,354.47,0.673,38,7,0.397,11,0,3,8,2,7,pro,desktop,AR,0
2,36.35,0.42,1,0,0.71,7,0,0,2,0,39,free,mobile,CO,1
8,193.38,0.112,25,0,0.745,29,1,1,8,0,4,pro,desktop,AR,1
14,66.01,0.505,46,15,0.523,15,0,2,9,1,8,pro,mobile,PE,1
6,120.45,0.752,30,16,0.857,21,1,2,8,0,10,basic,mobile,AR,1
26,653.58,0.529,11,19,0.723,15,0,0,8,1,3,basic,mobile,CO,0
40,683.27,0.76,10,12,0.902,0,2,2,9,0,11,free,desktop,AR,0
39,830.75,0.63,39,18,0.756,7,0,0,6,2,8,basic,mobile,AR,1
28,385.88,0.858,27,8,0.54,25,0,3,11,1,15,pro,mobile,CL,0
51,881.47,0.541,34,5,0.769,15,0,1,7,2,6,basic,mobile,CL,0
33,273.06,0.694,22,4,0.801,21,0,2,0,0,42,free,tablet,AR,1
4,15.74,0.701,20,4,0.618,22,0,1,2,0,35,basic,mobile,MX,1
45,1064.55,0.9,39,14,0.484,16,0,2,5,2,29,basic,mobile,AR,0
34,411.06,0.259,0,0,0.715,17,0,2,5,1,26,basic,desktop,PE,0
38,580.14,0.508,26,18,0.55,7,1,4,9,1,31,basic,desktop,CL,0
33,319.48,0.77,22,15,0.868,7,0,1,8,1,42,pro,mobile,CL,0
33,314.83,0.909,46,7,0.639,4,2,3,0,0,5,free,mobile,MX,0
5,84.78,0.648,43,14,0.959,8,1,2,5,1,23,free,desktop,CO,1
33,449.54,0.541,25,2,0.381,18,0,0,6,0,8,free,mobile,AR,1
47,952.59,0.751,15,8,0.72,27,0,1,11,1,20,pro,mobile,CO,0
18,372.87,0.774,14,2,0.914,13,0,2,7,1,40,pro,mobile,PE,0
36,717.3,0.528,12,2,0.566,18,0,4,2,0,28,pro,desktop,CL,1
1,19.43,0.666,16,0,0.676,25,0,1,2,0,28,pro,desktop,AR,0
20,549.33,0.836,45,15,0.64,20,1,1,3,0,4,basic,mobile,AR,0
26,301.46,0.978,2,14,0.597,7,0,1,4,0,36,free,mobile,UY,0
58,1024.88,0.749,1,17,0.737,8,0,1,1,0,32,basic,mobile,AR,0
12,297.55,0.609,32,19,0.506,19,0,1,9,0,16,basic,tablet,AR,0
16,409.4,0.589,13,19,0.683,8,1,0,0,0,15,basic,desktop,PE,1
24,227.27,0.711,49,19,0.777,7,1,2,0,0,25,free,mobile,PE,0
59,951.43,0.577,45,0,0.668,17,0,1,1,0,34,basic,desktop,CL,0
51,1333.59,0.638,46,15,0.55,19,0,3,1,0,22,basic,mobile,AR,0
2,42.1,0.388,27,14,0.855,7,0,3,6,1,38,free,mobile,MX,1
14,268.4,0.859,26,3,0.81,1,1,5,9,1,9,pro,mobile,CO,0
49,818.0,0.372,25,2,0.544,23,0,1,11,1,31,free,desktop,AR,1
3,47.09,0.514,11,19,0.506,11,0,1,9,2,37,pro,desktop,AR,1
51,1006.2,0.62,34,17,0.557,18,0,3,8,1,31,free,mobile,PE,0
16,263.77,0.998,51,6,0.782,5,0,3,7,1,15,pro,mobile,CO,1
55,975.95,0.515,15,1,0.741,9,0,0,3,1,20,basic,desktop,CL,0
17,314.02,0.467,3,6,0.819,18,0,1,4,1,21,free,mobile,PE,0
26,362.22,0.49,33,0,0.651,3,0,1,10,1,13,free,mobile,MX,1
39,826.52,0.932,23,13,0.561,9,1,0,1,0,5,basic,desktop,UY,0
7,248.4,0.038,47,7,0.838,21,0,1,9,3,8,pro,desktop,AR,1
33,242.16,0.399,51,0,0.617,23,1,2,9,1,28,free,mobile,CL,1
30,598.32,1.0,57,19,0.728,10,0,0,0,0,10,free,mobile,MX,0
47,631.63,0.718,23,16,0.468,3,2,1,2,0,35,basic,desktop,CL,0
59,1266.4,0.379,54,18,0.615,0,0,1,3,1,35,basic,mobile,AR,0
39,712.89,0.592,7,19,0.851,16,0,2,10,1,18,basic,desktop,MX,0
24,541.71,0.613,22,0,0.593,20,0,7,5,0,16,free,desktop,MX,0
24,601.27,0.769,15,15,0.822,17,1,2,9,1,44,basic,desktop,AR,0
25,478.86,0.968,55,15,0.35,12,0,1,7,2,0,free,mobile,CL,0
48,1190.03,0.678,36,15,0.616,0,1,1,0,0,11,basic,desktop,CO,0
19,74.75,0.492,21,5,0.674,6,0,1,8,0,31,free,desktop,MX,1
10,275.43,0.757,9,7,0.961,1,1,1,7,2,39,pro,desktop,CL,1
20,405.01,0.46,46,18,0.525,13,0,1,10,1,20,basic,mobile,AR,1
1,24.47,0.393,39,1,0.801,9,0,1,11,3,32,basic,tablet,AR,1
6,64.08,0.248,51,12,0.859,2,1,2,7,1,9,pro,mobile,PE,1
5,65.08,0.287,26,15,0.592,18,0,2,10,0,41,pro,mobile,PE,0
46,868.28,0.421,8,15,0.644,11,0,1,1,0,26,pro,mobile,MX,0
43,769.6,0.364,20,11,0.721,28,1,1,7,1,33,basic,mobile,MX,0
41,807.63,0.663,37,15,0.478,12,0,3,6,1,7,pro,mobile,AR,0
27,661.69,0.36,14,18,0.632,2,1,3,2,0,22,free,desktop,CL,0
43,318.57,0.0,4,15,0.891,21,0,0,6,1,32,pro,mobile,CL,0
9,214.59,0.391,49,2,0.778,21,0,0,8,2,18,basic,mobile,CL,0
54,974.68,0.506,31,4,0.676,27,0,2,4,1,43,basic,desktop,AR,0
30,503.32,0.479,23,6,0.717,20,0,1,7,1,37,pro,mobile,AR,0
56,513.71,0.904,33,6,0.787,10,0,2,8,4,5,basic,mobile,PE,0
9,189.16,0.477,44,7,0.816,20,1,4,7,1,37,basic,desktop,MX,1
29,101.95,0.776,0,4,0.617,23,1,0,4,0,17,pro,mobile,PE,0
41,897.5,0.596,26,13,0.93,15,1,0,3,1,26,basic,mobile,MX,0
29,262.37,0.592,15,2,0.897,23,0,2,7,2,18,free,mobile,PE,0
26,476.34,0.433,5,15,0.802,29,0,4,10,2,31,free,desktop,AR,0
9,155.56,0.588,2,13,0.574,22,0,4,5,1,19,basic,mobile,AR,1
22,550.38,0.447,26,19,0.547,15,0,1,6,2,20,free,desktop,MX,1
14,236.99,0.634,32,0,0.651,14,0,1,10,3,26,basic,desktop,MX,0
18,249.03,0.553,30,5,0.709,25,1,0,3,0,9,pro,desktop,AR,0
41,613.38,0.411,46,17,0.435,26,0,0,9,1,19,free,desktop,MX,1
37,948.58,0.798,27,9,0.774,7,0,2,3,1,2,pro,mobile,AR,0
36,763.84,0.685,35,11,0.893,0,1,1,3,0,2,basic,desktop,AR,0
21,329.41,0.51,48,0,0.786,24,0,1,3,1,29,pro,desktop,UY,0
57,945.14,0.629,39,15,0.599,7,0,3,0,0,12,free,desktop,MX,0
5,42.98,0.583,54,5,0.581,29,0,1,5,2,30,basic,desktop,AR,1
20,406.62,0.426,13,19,0.745,1,0,1,4,1,34,basic,mobile,AR,0
7,52.09,0.614,47,7,0.677,27,0,2,2,0,29,pro,desktop,PE,1
20,450.22,0.476,41,3,0.766,20,0,1,9,1,18,pro,desktop,UY,0
57,1069.99,0.411,34,11,0.79,9,1,2,6,0,25,pro,desktop,AR,0
21,678.76,0.275,0,9,0.864,1,0,1,2,0,35,free,desktop,CL,0
54,615.56,0.528,32,9,0.53,25,0,0,2,0,15,basic,mobile,MX,0
29,504.14,0.713,51,18,0.733,3,1,2,9,0,18,basic,tablet,AR,1
41,1180.38,0.461,38,7,0.645,2,0,1,3,1,10,free,mobile,MX,0
27,679.01,1.0,0,7,0.685,23,1,3,4,1,9,pro,mobile,AR,0
15,207.34,0.777,17,12,0.83,20,0,0,1,0,2,basic,mobile,AR,0
45,870.47,0.861,34,3,0.846,3,0,2,9,1,3,pro,mobile,MX,1
58,1044.7,0.759,48,16,0.91,10,0,1,4,1,6,pro,mobile,AR,1
15,295.38,0.971,26,4,0.764,19,0,1,8,3,34,free,mobile,MX,0
46,635.16,0.443,51,4,0.683,19,0,0,4,0,28,basic,desktop,AR,0
15,261.96,0.088,47,0,0.662,10,0,3,9,0,3,basic,desktop,CL,1
43,361.7,0.511,16,6,0.44,12,0,2,4,0,34,pro,desktop,PE,0
47,884.1,0.712,11,11,0.901,2,1,1,10,2,33,basic,mobile,CL,0
26,538.2,0.63,54,14,0.652,0,1,0,8,1,40,free,tablet,CL,0
44,731.96,0.655,35,17,0.776,29,1,1,5,1,43,basic,desktop,CL,1
16,132.96,0.864,50,15,0.802,6,0,2,5,2,3,free,desktop,PE,1
4,95.72,0.676,55,6,0.513,27,0,2,7,0,23,basic,mobile,MX,0
5,100.94,0.76,25,16,0.561,1,0,3,8,1,36,pro,desktop,AR,1
26,354.74,0.412,2,3,0.932,29,0,0,8,0,10,free,mobile,AR,0
54,881.09,0.381,54,4,0.744,12,0,1,0,0,26,free,mobile,MX,1
7,62.97,0.923,35,7,0.613,24,1,0,3,0,4,basic,mobile,CO,0
27,319.88,0.62,7,10,0.681,25,0,1,5,0,13,pro,desktop,AR,1
42,620.47,0.475,31,4,0.863,10,0,3,6,1,44,free,mobile,CL,0
12,304.45,0.476,1,18,0.84,22,0,2,1,0,32,free,mobile,MX,0
43,609.01,0.47,17,5,0.48,10,0,1,2,0,11,basic,desktop,CL,0
18,393.14,0.458,20,7,0.945,23,0,1,5,1,44,basic,mobile,MX,0
48,708.96,0.343,27,12,0.845,28,1,0,5,1,9,free,mobile,AR,0
34,662.58,0.3,33,8,0.677,24,0,2,7,1,17,pro,desktop,MX,1
32,548.85,0.561,50,8,0.521,21,0,2,0,0,19,pro,desktop,CO,1
10,232.38,0.481,21,19,0.858,11,0,3,9,2,28,basic,desktop,UY,0
27,399.36,0.821,44,8,0.771,3,0,1,3,0,11,free,desktop,MX,1
51,436.81,0.659,56,2,0.481,15,0,1,6,1,11,basic,mobile,AR,1
1,9.71,0.653,44,14,0.665,3,0,0,11,1,30,free,mobile,CO,1
45,666.39,0.451,15,14,1.0,15,1,1,4,0,9,basic,mobile,CO,0
29,304.66,0.576,40,4,0.702,26,0,2,3,0,6,pro,desktop,CL,0
43,879.83,0.672,16,17,0.589,3,2,1,3,0,6,free,mobile,AR,0
39,593.01,0.743,28,7,0.549,27,1,1,7,1,14,free,mobile,AR,1
25,806.19,0.581,38,3,0.966,17,0,3,11,2,1,free,desktop,MX,0
18,136.33,0.816,17,3,0.827,1,0,1,6,0,1,free,mobile,CL,1
37,711.21,0.602,0,14,0.911,21,0,3,2,0,32,free,mobile,AR,0
8,89.86,0.759,50,4,0.737,0,0,3,11,3,24,basic,desktop,MX,1
35,526.39,0.502,43,9,0.888,18,1,2,0,0,6,pro,mobile,UY,0
5,94.24,0.237,7,14,0.573,15,0,0,4,1,11,free,desktop,AR,1
38,153.82,0.654,22,17,0.724,22,0,0,1,0,30,basic,mobile,CL,1
37,718.58,0.745,15,9,0.743,11,0,2,0,0,36,pro,mobile,PE,0
5,147.09,0.715,58,18,0.907,3,1,0,11,2,39,basic,mobile,UY,1
45,687.57,0.684,56,6,0.748,11,0,1,1,0,9,pro,mobile,AR,0
24,469.41,0.53,41,17,0.606,22,0,0,10,1,38,basic,mobile,AR,1
47,1135.03,0.439,26,5,0.71,28,1,0,6,3,19,free,mobile,CL,1
2,34.03,0.71,3,1,0.449,6,0,2,3,1,13,free,mobile,AR,0
10,145.14,0.685,14,14,0.352,10,0,1,10,0,25,pro,mobile,CL,0
29,126.02,0.488,5,15,0.825,26,0,1,0,0,5,pro,mobile,MX,1
11,240.31,0.822,47,18,0.644,9,0,3,8,0,20,basic,mobile,CO,0
19,329.1,0.423,5,18,0.661,7,0,2,9,2,19,basic,mobile,MX,0
39,465.03,0.483,40,2,0.825,24,0,1,4,0,26,basic,mobile,PE,0
8,150.08,0.927,57,12,0.91,14,1,1,3,0,8,free,mobile,CO,1
40,579.92,0.774,18,14,0.78,17,0,1,0,0,2,free,tablet,CL,0
6,88.98,0.528,41,12,0.989,14,1,2,0,0,16,pro,mobile,AR,1
10,216.38,0.657,52,0,0.775,18,1,1,0,0,44,free,desktop,CO,1
35,348.94,0.631,25,0,0.745,8,1,1,5,0,25,free,mobile,CO,1
47,1141.34,0.051,26,13,0.736,21,1,1,6,0,24,basic,mobile,AR,0
10,96.14,0.419,12,17,0.507,10,0,1,5,1,28,basic,mobile,AR,0
17,238.4,0.59,25,3,0.843,15,0,2,8,4,22,pro,mobile,MX,0
55,1624.57,0.529,52,0,0.333,5,0,1,4,1,9,free,desktop,AR,1
59,1461.08,0.649,39,8,0.612,0,0,1,9,2,44,pro,desktop,CO,0
34,631.91,0.826,12,6,0.703,17,1,3,7,1,10,free,mobile,AR,0
26,321.28,0.536,31,19,0.582,4,1,0,11,1,28,free,mobile,MX,1
20,296.49,0.388,42,18,0.632,27,0,2,8,3,38,basic,desktop,AR,1
36,663.83,0.665,4,11,0.976,28,1,1,1,0,29,pro,desktop,CL,0
35,637.88,0.535,45,18,0.866,9,0,2,6,1,42,basic,mobile,CO,0
17,296.73,0.569,12,4,0.597,8,0,2,7,2,8,free,mobile,AR,0
1,17.82,0.542,17,19,0.63,15,0,4,0,0,28,basic,mobile,AR,0
9,150.42,1.0,24,8,0.508,6,0,1,0,0,4,free,mobile,AR,0
57,532.84,0.152,30,9,0.806,25,0,4,0,0,25,pro,mobile,AR,0
25,372.52,0.522,54,1,0.663,3,0,4,2,0,8,pro,mobile,CL,0
28,657.66,0.599,13,3,0.405,13,1,3,10,0,29,basic,mobile,AR,1
28,274.12,0.444,15,3,0.715,5,0,0,2,0,14,basic,mobile,CL,1
46,775.68,0.78,22,9,0.766,24,0,3,2,0,5,basic,mobile,MX,0
3,39.24,0.763,51,3,0.844,4,0,0,5,0,38,basic,mobile,PE,0
4,74.67,0.59,57,2,0.689,13,1,4,4,0,40,free,desktop,AR,1
16,250.69,0.546,27,12,0.644,25,0,1,11,2,7,basic,mobile,PE,1
29,779.07,0.578,41,17,0.998,13,0,2,1,0,9,basic,mobile,UY,0
40,841.58,0.579,55,1,0.701,5,0,2,10,3,1,pro,mobile,MX,1
29,293.75,0.584,50,11,0.808,4,0,0,2,0,30,basic,mobile,CO,1
26,572.71,0.562,40,19,0.619,18,0,3,3,1,40,pro,mobile,CL,1
56,747.72,0.65,32,8,0.803,3,0,1,5,1,9,pro,mobile,AR,1
9,130.84,0.751,59,3,0.482,10,0,1,11,0,20,pro,mobile,UY,1
34,676.02,0.354,14,1,0.631,18,0,1,2,0,31,pro,mobile,UY,0
32,481.58,0.39,21,18,0.519,11,0,0,4,1,19,free,mobile,AR,1
28,654.0,0.25,42,8,0.609,24,0,1,7,1,33,basic,mobile,AR,1
48,640.94,0.773,1,2,0.888,20,0,1,8,1,33,pro,mobile,AR,0
16,228.58,0.65,30,17,0.608,4,0,3,4,0,33,pro,tablet,CL,1
57,801.52,0.701,51,16,0.808,24,0,3,1,0,32,free,mobile,PE,0
19,277.52,0.314,10,14,0.928,27,0,0,9,2,19,basic,desktop,AR,0
32,787.04,0.957,48,1,0.696,6,0,1,10,0,17,pro,mobile,MX,0
31,674.96,0.478,24,1,0.849,10,0,2,7,1,27,free,desktop,PE,0
50,1412.98,0.634,51,4,0.78,11,0,3,10,0,4,free,mobile,AR,1
26,821.75,0.771,38,3,0.717,12,0,2,3,0,26,basic,mobile,MX,0
17,200.87,0.403,9,10,0.813,13,0,1,10,1,1,basic,desktop,CL,0
1,18.42,0.491,44,7,0.976,26,0,1,9,4,32,basic,mobile,AR,1
21,229.8,0.636,3,15,0.604,19,0,1,10,2,27,free,desktop,CL,0
49,653.38,1.0,14,2,0.556,26,0,1,11,3,22,pro,mobile,AR,0
0,0.0,0.66,53,14,0.547,10,0,1,4,1,13,free,desktop,MX,1
53,617.82,0.921,52,18,0.849,15,0,3,1,0,22,pro,tablet,AR,0
32,374.04,0.841,2,2,0.869,3,1,2,8,2,28,free,mobile,CO,1
8,137.07,0.674,22,13,0.619,8,0,4,8,1,30,pro,desktop,MX,0
18,192.59,0.402,5,10,0.38,17,0,0,7,1,41,basic,mobile,PE,1
33,760.74,0.812,16,1,0.599,5,0,3,7,2,7,basic,desktop,CO,0
18,224.88,0.3,58,5,0.782,28,1,1,0,0,1,free,mobile,CO,0
6,209.14,0.92,11,15,0.69,8,0,2,8,2,29,basic,mobile,AR,0
39,596.38,0.64,38,17,0.727,4,1,1,5,1,7,free,mobile,CL,0
40,737.28,0.07,48,7,0.621,23,0,2,0,0,6,free,mobile,CO,0
7,71.6,0.532,52,2,0.852,2,0,3,10,1,12,basic,desktop,CO,1
16,451.78,0.731,21,4,0.751,9,0,4,0,0,32,free,mobile,MX,1
14,346.04,0.553,41,16,0.788,5,0,0,2,0,2,pro,mobile,AR,0
39,771.48,0.743,29,11,0.724,20,0,0,3,0,17,basic,mobile,AR,0
43,426.52,0.43,6,8,0.779,25,0,2,9,0,4,free,desktop,AR,0
43,828.35,0.339,13,0,0.769,5,0,2,0,0,37,pro,mobile,AR,1
56,631.2,0.586,44,15,0.561,12,0,2,4,0,34,free,mobile,CO,0
46,1231.61,0.606,41,9,0.756,14,1,1,4,1,3,pro,tablet,MX,0
19,434.25,0.53,31,10,0.819,20,1,4,4,0,12,free,tablet,CL,0
6,111.44,0.845,46,16,0.873,10,0,2,10,3,20,basic,mobile,AR,0
36,121.74,0.43,41,11,0.762,15,0,2,3,0,20,pro,mobile,CO,1
54,653.37,0.663,20,18,0.555,15,0,2,4,1,7,free,mobile,AR,0
58,1283.34,0.614,17,11,0.578,0,0,2,4,0,20,basic,mobile,AR,0
13,328.6,0.289,56,6,0.635,17,0,2,4,0,39,free,mobile,CO,1
14,345.17,0.336,58,18,0.728,17,0,1,11,0,9,basic,tablet,MX,1
2,16.9,0.602,1,12,0.682,29,0,1,3,1,5,free,mobile,AR,0
8,158.47,0.996,47,15,0.531,15,1,4,1,0,17,free,mobile,AR,1
33,795.07,0.716,7,4,0.531,26,0,0,5,0,21,free,mobile,CL,0
